Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2015-01-02,60.042545318603516,92.83000183105469,93.05000305175781,91.80999755859375,92.25,10220400,Exxon Mobil,XOM
2015-01-05,58.3996696472168,90.29000091552734,92.4000015258789,89.5,92.0999984741211,18502400,Exxon Mobil,XOM
2015-01-06,58.08918762207031,89.80999755859375,91.41000366210938,89.0199966430664,90.23999786376953,16670700,Exxon Mobil,XOM
2015-01-07,58.67778015136719,90.72000122070312,91.4800033569336,90.0,90.6500015258789,13590700,Exxon Mobil,XOM
2015-01-08,59.654457092285156,92.2300033569336,92.2699966430664,91.0,91.25,15487500,Exxon Mobil,XOM
2015-01-09,59.570369720458984,92.0999984741211,92.77999877929688,91.37000274658203,92.30000305175781,14488400,Exxon Mobil,XOM
2015-01-12,58.42552185058594,90.33000183105469,91.33999633789062,89.81999969482422,91.23999786376953,15176300,Exxon Mobil,XOM
2015-01-13,58.21208572387695,90.0,91.43000030517578,89.11000061035156,90.87999725341797,17469000,Exxon Mobil,XOM
2015-01-14,58.043922424316406,89.73999786376953,89.88999938964844,87.26000213623047,88.94999694824219,23272100,Exxon Mobil,XOM
2015-01-15,57.53943634033203,88.95999908447266,90.66000366210938,88.51000213623047,90.43000030517578,18759600,Exxon Mobil,XOM
2015-01-16,58.936500549316406,91.12000274658203,91.19000244140625,88.9800033569336,88.9800033569336,17713100,Exxon Mobil,XOM
2015-01-20,58.91709899902344,91.08999633789062,91.77999877929688,90.37999725341797,91.13999938964844,16761000,Exxon Mobil,XOM
2015-01-21,59.4216194152832,91.87000274658203,91.98999786376953,91.01000213623047,91.73999786376953,14276400,Exxon Mobil,XOM
2015-01-22,60.068382263183594,92.87000274658203,92.97000122070312,91.31999969482422,92.30999755859375,13559000,Exxon Mobil,XOM
2015-01-23,58.78772735595703,90.88999938964844,92.4800033569336,90.79000091552734,92.27999877929688,14706300,Exxon Mobil,XOM
2015-01-26,59.350460052490234,91.76000213623047,91.94000244140625,90.47000122070312,90.61000061035156,10672500,Exxon Mobil,XOM
2015-01-27,58.82653045654297,90.94999694824219,91.5999984741211,90.5999984741211,91.23999786376953,12301500,Exxon Mobil,XOM
2015-01-28,56.88615036010742,87.94999694824219,90.93000030517578,87.81999969482422,90.87999725341797,17829700,Exxon Mobil,XOM
2015-01-29,56.64681625366211,87.58000183105469,88.26000213623047,86.02999877929688,88.22000122070312,22683000,Exxon Mobil,XOM
2015-01-30,56.543338775634766,87.41999816894531,88.41999816894531,86.25,87.16000366210938,22679900,Exxon Mobil,XOM
2015-02-02,57.94041442871094,89.58000183105469,89.58999633789062,87.5,87.8499984741211,20306300,Exxon Mobil,XOM
2015-02-03,59.66739273071289,92.25,92.33000183105469,90.80999755859375,90.9000015258789,21900900,Exxon Mobil,XOM
2015-02-04,59.15640640258789,91.45999908447266,92.2699966430664,90.51000213623047,91.63999938964844,19632200,Exxon Mobil,XOM
2015-02-05,59.738529205322266,92.36000061035156,92.54000091552734,91.69999694824219,92.38999938964844,12809000,Exxon Mobil,XOM
2015-02-06,59.62775421142578,91.5,92.27999877929688,90.95999908447266,92.0999984741211,12331200,Exxon Mobil,XOM
2015-02-09,59.666847229003906,91.55999755859375,92.29000091552734,91.23999786376953,91.4000015258789,11360700,Exxon Mobil,XOM
2015-02-10,59.30844497680664,91.01000213623047,91.73999786376953,90.30000305175781,91.73999786376953,12952900,Exxon Mobil,XOM
2015-02-11,59.04125213623047,90.5999984741211,90.83000183105469,89.79000091552734,90.0199966430664,12240600,Exxon Mobil,XOM
2015-02-12,60.1947135925293,92.37000274658203,92.66000366210938,91.0199966430664,91.45999908447266,14843000,Exxon Mobil,XOM
2015-02-13,60.846378326416016,93.37000274658203,93.44999694824219,92.27999877929688,92.69999694824219,12061000,Exxon Mobil,XOM
2015-02-17,60.63783264160156,93.05000305175781,93.06999969482422,92.29000091552734,92.75,11758700,Exxon Mobil,XOM
2015-02-18,59.30844497680664,91.01000213623047,91.98999786376953,90.38999938964844,91.98999786376953,19177900,Exxon Mobil,XOM
2015-02-19,58.28529739379883,89.44000244140625,90.41999816894531,88.58000183105469,89.63999938964844,19350600,Exxon Mobil,XOM
2015-02-20,58.598121643066406,89.91999816894531,89.94000244140625,88.8499984741211,89.4000015258789,15959900,Exxon Mobil,XOM
2015-02-23,58.00509262084961,89.01000213623047,89.55000305175781,88.73999786376953,89.26000213623047,12771800,Exxon Mobil,XOM
2015-02-24,58.272281646728516,89.41999816894531,89.77999877929688,89.12999725341797,89.33000183105469,9990700,Exxon Mobil,XOM
2015-02-25,58.389564514160156,89.5999984741211,89.69999694824219,89.08000183105469,89.56999969482422,9925700,Exxon Mobil,XOM
2015-02-26,57.77050018310547,88.6500015258789,89.18000030517578,88.08000183105469,89.12999725341797,13984000,Exxon Mobil,XOM
2015-02-27,57.69881057739258,88.54000091552734,89.27999877929688,88.33999633789062,88.88999938964844,13090600,Exxon Mobil,XOM
2015-03-02,57.37297439575195,88.04000091552734,88.5199966430664,87.3499984741211,88.33999633789062,13793700,Exxon Mobil,XOM
2015-03-03,57.09929275512695,87.62000274658203,88.0199966430664,87.12999725341797,87.93000030517578,13493800,Exxon Mobil,XOM
2015-03-04,56.81254196166992,87.18000030517578,87.95999908447266,86.93000030517578,87.95999908447266,13467600,Exxon Mobil,XOM
2015-03-05,56.52580642700195,86.73999786376953,87.19000244140625,86.5199966430664,87.06999969482422,12527600,Exxon Mobil,XOM
2015-03-06,55.802452087402344,85.62999725341797,86.5999984741211,85.31999969482422,86.41000366210938,16070500,Exxon Mobil,XOM
2015-03-09,55.49616622924805,85.16000366210938,86.37999725341797,85.12000274658203,86.12000274658203,14503800,Exxon Mobil,XOM
2015-03-10,54.909664154052734,84.26000213623047,85.52999877929688,84.23999786376953,84.81999969482422,17195500,Exxon Mobil,XOM
2015-03-11,54.753257751464844,84.0199966430664,84.93000030517578,84.0,84.93000030517578,13004700,Exxon Mobil,XOM
2015-03-12,54.88359832763672,84.22000122070312,84.72000122070312,84.05999755859375,84.43000030517578,10792900,Exxon Mobil,XOM
2015-03-13,54.655513763427734,83.87000274658203,84.18000030517578,82.68000030517578,83.9000015258789,16799900,Exxon Mobil,XOM
2015-03-16,55.235496520996094,84.76000213623047,84.86000061035156,83.2699966430664,83.70999908447266,13516200,Exxon Mobil,XOM
2015-03-17,54.79236602783203,84.08000183105469,84.8499984741211,84.0199966430664,84.54000091552734,12979700,Exxon Mobil,XOM
2015-03-18,56.08917236328125,86.06999969482422,86.37000274658203,83.43000030517578,83.54000091552734,18745700,Exxon Mobil,XOM
2015-03-19,55.00741195678711,84.41000366210938,85.5,84.33000183105469,85.19000244140625,12738500,Exxon Mobil,XOM
2015-03-20,55.09214401245117,84.54000091552734,85.4000015258789,84.38999938964844,84.66999816894531,36083500,Exxon Mobil,XOM
2015-03-23,55.67211151123047,85.43000030517578,85.77999877929688,85.01000213623047,85.0199966430664,17450700,Exxon Mobil,XOM
2015-03-24,55.079105377197266,84.5199966430664,85.77999877929688,84.5,85.30000305175781,10174300,Exxon Mobil,XOM
2015-03-25,55.30066680908203,84.86000061035156,85.56999969482422,84.7699966430664,85.05000305175781,11934700,Exxon Mobil,XOM
2015-03-26,54.94876480102539,84.31999969482422,85.56999969482422,84.08999633789062,85.30000305175781,14400700,Exxon Mobil,XOM
2015-03-27,54.466552734375,83.58000183105469,84.05000305175781,83.33000183105469,84.04000091552734,11579300,Exxon Mobil,XOM
2015-03-30,55.802452087402344,85.62999725341797,85.81999969482422,84.25,84.2699966430664,15653200,Exxon Mobil,XOM
2015-03-31,55.391910552978516,85.0,85.33999633789062,84.45999908447266,84.8499984741211,13354000,Exxon Mobil,XOM
